epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.928,1.4538,1.61377,1.61888,0.83817,0.78558,0.86373,0.53011,1.37464,0.99313,1.60275,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298
2,498.45,1.26291,1.01297,1.45792,0.89396,0.8713,0.94064,0.59416,1.27947,0.9613,1.55556,0.0197713,0.00659042,0.0197713,0.00659042,0.0197713,0.00659042,0.0197713,0.00659042
3,707.783,1.2999,1.08147,1.47397,0.56891,0.53141,0.58371,0.33492,1.57812,3.20259,1.87611,0.0293756,0.00979185,0.0293756,0.00979185,0.0293756,0.00979185,0.0293756,0.00979185
4,920.41,1.33412,1.11316,1.50979,0.74985,0.78926,0.82075,0.50297,1.4029,1.15312,1.69257,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1128.69,1.24186,0.9827,1.45223,0.84375,0.89152,0.93396,0.61102,1.18942,0.77764,1.45365,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1336.97,1.16684,0.88505,1.38654,0.80811,0.88993,0.93845,0.62698,1.16315,0.70412,1.40373,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1547.33,1.13431,0.82752,1.35327,0.8507,0.90247,0.94077,0.62786,1.15348,0.67311,1.37189,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1756.43,1.08703,0.76283,1.3281,0.9385,0.96278,0.98422,0.68409,1.06728,0.55978,1.28044,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1965.61,1.08099,0.74361,1.30865,0.91203,0.95034,0.97556,0.6841,1.05377,0.55627,1.31836,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2173.8,1.07099,0.73657,1.30476,0.94409,0.95839,0.98095,0.70059,1.00554,0.51848,1.26432,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2382.96,1.02775,0.696,1.28201,0.92676,0.97047,0.97703,0.6968,1.02931,0.51913,1.26601,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2594.3,1.01691,0.67683,1.26185,0.942,0.98523,0.9885,0.70502,0.99693,0.51694,1.24337,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2804.64,1.0225,0.66698,1.26355,0.9307,0.97047,0.98688,0.7104,0.96458,0.50075,1.24982,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3015.42,0.98044,0.63887,1.24429,0.94726,0.98255,0.99085,0.71788,0.96707,0.47222,1.24483,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3223.4,0.98959,0.62792,1.24708,0.95195,0.98394,0.9902,0.72972,0.93864,0.46596,1.22164,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3431.33,0.97695,0.61961,1.24467,0.97593,0.99195,0.99179,0.7186,0.94641,0.46063,1.22712,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3641.45,0.94384,0.59698,1.21972,0.94625,0.98792,0.98743,0.71394,0.9576,0.47859,1.22502,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3850.58,0.97193,0.6156,1.23458,0.97506,0.98121,0.9923,0.72485,0.93225,0.44472,1.21084,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4060.63,0.95421,0.59033,1.21561,0.96011,0.97584,0.98975,0.73604,0.92102,0.4571,1.21,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4270.28,0.93963,0.58803,1.20644,0.95505,0.98523,0.9896,0.73693,0.91631,0.44762,1.1749,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4482.15,0.92099,0.56384,1.18306,0.971,0.98862,0.99053,0.7391,0.91101,0.43754,1.19037,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4689.73,0.9296,0.56083,1.19554,0.97339,0.98185,0.99278,0.74144,0.88873,0.42488,1.1833,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
