epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.785,1.64393,1.99881,2.01231,0.52145,0.34261,0.33642,0.13385,2.805,3.46942,3.16917,0.00066484,0.00066484,0.00066484
2,200.796,1.47206,1.37997,1.87232,0.87048,0.6788,0.74207,0.48637,1.61213,1.195,1.96278,0.00131832,0.00131832,0.00131832
3,295.403,1.34151,1.20254,1.75321,0.84961,0.48394,0.56369,0.37618,1.74806,1.75654,2.04136,0.00195861,0.00195861,0.00195861
4,388.29,1.26589,1.09179,1.65552,0.8707,0.87366,0.9501,0.60261,1.29709,0.89321,1.56298,0.0019406,0.0019406,0.0019406
5,481.896,1.21028,0.98579,1.63958,0.90451,0.85186,0.92388,0.61727,1.23956,0.79965,1.53889,0.0019208,0.0019208,0.0019208
6,576.791,1.16591,0.92819,1.5879,0.93416,0.88102,0.95867,0.66987,1.12216,0.61916,1.37255,0.001901,0.001901,0.001901
7,673.656,1.12249,0.85788,1.56269,0.96479,0.93887,0.98513,0.66993,1.13891,0.55112,1.40835,0.0018812,0.0018812,0.0018812
8,766.942,1.10056,0.82737,1.53658,0.92803,0.88437,0.96456,0.665,1.14881,0.62206,1.44151,0.0018614,0.0018614,0.0018614
9,860.122,1.09789,0.78382,1.50789,0.94437,0.90884,0.96739,0.67484,1.09031,0.57875,1.35935,0.0018416,0.0018416,0.0018416
10,954.041,1.04926,0.7453,1.48321,0.91286,0.89728,0.96444,0.68848,1.06041,0.62085,1.31275,0.0018218,0.0018218,0.0018218
11,1050.86,1.04869,0.74278,1.48232,0.94538,0.91863,0.97946,0.67587,1.13926,0.56993,1.41578,0.001802,0.001802,0.001802
12,1144.27,1.04207,0.72179,1.49054,0.95783,0.92415,0.98115,0.69626,1.04844,0.52769,1.29036,0.0017822,0.0017822,0.0017822
13,1283.95,1.00427,0.67336,1.44265,0.92672,0.9478,0.98269,0.71452,1.03344,0.51614,1.26363,0.0017624,0.0017624,0.0017624
14,1391.78,1.00135,0.6933,1.42585,0.95357,0.93148,0.98675,0.71566,1.02789,0.46128,1.23032,0.0017426,0.0017426,0.0017426
15,1500.61,0.9816,0.64533,1.4278,0.95481,0.94433,0.98862,0.70845,1.03387,0.47477,1.26868,0.0017228,0.0017228,0.0017228
16,1597.01,0.98392,0.6406,1.42957,0.95035,0.95931,0.98938,0.70373,1.03729,0.45496,1.28436,0.001703,0.001703,0.001703
17,1690.73,0.96507,0.63104,1.40536,0.98226,0.95503,0.98992,0.70744,1.04156,0.42479,1.27207,0.0016832,0.0016832,0.0016832
18,1790.21,0.97634,0.6425,1.41865,0.95614,0.98073,0.99193,0.71599,1.01251,0.42781,1.23941,0.0016634,0.0016634,0.0016634
19,1886.07,0.96502,0.62814,1.40473,0.96721,0.94861,0.99037,0.71587,1.0182,0.44542,1.237,0.0016436,0.0016436,0.0016436
20,1996.41,0.96374,0.61633,1.39243,0.9809,0.95289,0.99202,0.72071,1.01278,0.43951,1.21895,0.0016238,0.0016238,0.0016238
21,2091.35,0.96928,0.61903,1.41223,0.97834,0.9672,0.99284,0.72424,0.99553,0.41288,1.19101,0.001604,0.001604,0.001604
22,2215.72,0.94083,0.60387,1.37862,0.95904,0.95717,0.99108,0.72857,0.99026,0.40778,1.19917,0.0015842,0.0015842,0.0015842
23,2359.42,0.94793,0.59092,1.38305,0.96185,0.97166,0.99183,0.7222,1.00219,0.4439,1.20416,0.0015644,0.0015644,0.0015644
24,2502.36,0.91558,0.56387,1.36988,0.95948,0.96343,0.99048,0.71947,0.9993,0.40536,1.20719,0.0015446,0.0015446,0.0015446
25,2652.88,0.95424,0.58634,1.36132,0.95873,0.94524,0.98675,0.72477,0.98381,0.42612,1.18757,0.0015248,0.0015248,0.0015248
26,2807.59,0.93718,0.58387,1.3722,0.96788,0.96782,0.99227,0.7315,0.98369,0.38753,1.21517,0.001505,0.001505,0.001505
27,2962.58,0.93493,0.56259,1.3698,0.98463,0.96024,0.99266,0.72303,0.97946,0.41228,1.17023,0.0014852,0.0014852,0.0014852
28,3118.41,0.901,0.54886,1.3528,0.96846,0.96146,0.99093,0.72625,0.98599,0.42466,1.18657,0.0014654,0.0014654,0.0014654
29,3274.88,0.91037,0.55389,1.35459,0.96151,0.96274,0.99129,0.72953,0.96563,0.38784,1.16767,0.0014456,0.0014456,0.0014456
30,3430.22,0.89611,0.53754,1.34604,0.98247,0.96011,0.99234,0.72952,0.97421,0.40165,1.18784,0.0014258,0.0014258,0.0014258
31,3585.16,0.90204,0.54366,1.34266,0.95369,0.95931,0.98875,0.70712,0.9944,0.42427,1.1806,0.001406,0.001406,0.001406
32,3740.38,0.89466,0.51961,1.3283,0.96249,0.95503,0.99124,0.72056,0.98788,0.41208,1.16991,0.0013862,0.0013862,0.0013862
33,3896.93,0.90014,0.53609,1.34805,0.95137,0.96355,0.9907,0.72123,0.98437,0.39064,1.1825,0.0013664,0.0013664,0.0013664
34,4051.73,0.88963,0.52258,1.3343,0.91609,0.98188,0.98638,0.70278,0.9634,0.40873,1.16111,0.0013466,0.0013466,0.0013466
35,4206.71,0.88937,0.53005,1.32099,0.99114,0.95853,0.99381,0.73291,0.97766,0.36888,1.17563,0.0013268,0.0013268,0.0013268
36,4361.4,0.89362,0.51942,1.3249,0.96388,0.95503,0.99167,0.70247,0.96679,0.39217,1.16332,0.001307,0.001307,0.001307
37,4517.99,0.88739,0.51623,1.32335,0.96516,0.96146,0.99188,0.69582,0.96992,0.41615,1.16394,0.0012872,0.0012872,0.0012872
38,4672.28,0.88793,0.49029,1.30942,0.96885,0.95931,0.9914,0.71792,0.96765,0.40757,1.16141,0.0012674,0.0012674,0.0012674
39,4827.34,0.90604,0.52696,1.33725,0.94585,0.97243,0.98939,0.69461,0.97201,0.41596,1.15466,0.0012476,0.0012476,0.0012476
40,4981.99,0.88525,0.52588,1.32378,0.98576,0.96574,0.99359,0.72474,0.95745,0.40157,1.14568,0.0012278,0.0012278,0.0012278
41,5139.13,0.86922,0.49561,1.32233,0.96138,0.95939,0.99141,0.71663,0.96358,0.43385,1.15253,0.001208,0.001208,0.001208
42,5293.87,0.86048,0.49496,1.30627,0.95166,0.96967,0.99042,0.70478,0.9498,0.41294,1.13485,0.0011882,0.0011882,0.0011882
43,5449.52,0.86195,0.48802,1.31162,0.98022,0.95931,0.99249,0.70403,0.95716,0.41555,1.14759,0.0011684,0.0011684,0.0011684
44,5606.14,0.85365,0.48373,1.28673,0.98268,0.97002,0.99298,0.70596,0.94173,0.41409,1.12305,0.0011486,0.0011486,0.0011486
45,5761.18,0.85631,0.47852,1.29452,0.91323,0.97645,0.97134,0.68773,0.95911,0.40984,1.14819,0.0011288,0.0011288,0.0011288
46,5916.26,0.85815,0.47684,1.29445,0.98262,0.9683,0.9936,0.72632,0.95417,0.38774,1.1511,0.001109,0.001109,0.001109
47,6070.39,0.85666,0.47747,1.29385,0.95871,0.97216,0.99231,0.7041,0.95707,0.4133,1.13646,0.0010892,0.0010892,0.0010892
48,6226.61,0.82641,0.4674,1.27258,0.98488,0.9763,0.99378,0.69467,0.96555,0.41201,1.14781,0.0010694,0.0010694,0.0010694
49,6381.97,0.82231,0.45685,1.27117,0.95769,0.96932,0.99049,0.69085,0.9552,0.44831,1.13929,0.0010496,0.0010496,0.0010496
50,6535.93,0.82904,0.47109,1.28104,0.97404,0.96395,0.99287,0.68872,0.9535,0.44361,1.14455,0.0010298,0.0010298,0.0010298
51,6690.44,0.84574,0.4736,1.28779,0.95947,0.96305,0.99064,0.68738,0.9465,0.48062,1.12667,0.00101,0.00101,0.00101
52,6847.12,0.8418,0.46201,1.2923,0.97807,0.9636,0.99337,0.72943,0.94704,0.39651,1.12701,0.0009902,0.0009902,0.0009902
53,7001.41,0.82098,0.44825,1.2555,0.95576,0.97152,0.99262,0.71035,0.94074,0.43273,1.12265,0.0009704,0.0009704,0.0009704
54,7155.45,0.85374,0.45721,1.28356,0.95411,0.9794,0.99236,0.71228,0.94628,0.40921,1.13053,0.0009506,0.0009506,0.0009506
55,7310.78,0.82997,0.43757,1.26395,0.94604,0.96788,0.98874,0.69605,0.93907,0.4098,1.12442,0.0009308,0.0009308,0.0009308
56,7467.84,0.82829,0.46082,1.27472,0.94552,0.96624,0.99076,0.72252,0.94444,0.43979,1.13466,0.000911,0.000911,0.000911
57,7622.23,0.8373,0.45953,1.27875,0.9827,0.9731,0.9942,0.7387,0.93682,0.3853,1.12265,0.0008912,0.0008912,0.0008912
58,7776.76,0.81292,0.44297,1.25131,0.93088,0.9636,0.98978,0.72455,0.94466,0.49493,1.11531,0.0008714,0.0008714,0.0008714
59,7931.82,0.81906,0.43577,1.25094,0.96598,0.97279,0.99248,0.72104,0.94171,0.44148,1.12433,0.0008516,0.0008516,0.0008516
60,8088.16,0.81986,0.4433,1.28063,0.9664,0.97216,0.99168,0.71536,0.94612,0.45652,1.11473,0.0008318,0.0008318,0.0008318
61,8243.15,0.81863,0.44112,1.24608,0.94255,0.98377,0.99211,0.71286,0.94723,0.43478,1.13102,0.000812,0.000812,0.000812
62,8397.81,0.81891,0.43116,1.25448,0.95054,0.98769,0.99189,0.70275,0.94677,0.44979,1.12068,0.0007922,0.0007922,0.0007922
63,8552.98,0.79637,0.42495,1.24515,0.96457,0.99143,0.99346,0.69844,0.94453,0.42526,1.12432,0.0007724,0.0007724,0.0007724
64,8709.59,0.8051,0.44226,1.26557,0.94407,0.99786,0.99283,0.70366,0.9341,0.41216,1.11864,0.0007526,0.0007526,0.0007526
65,8864.36,0.82154,0.44264,1.26588,0.95539,0.97216,0.99227,0.72965,0.94331,0.40694,1.12344,0.0007328,0.0007328,0.0007328
66,9019.26,0.80251,0.42161,1.24921,0.96062,0.96788,0.99081,0.69826,0.93853,0.47538,1.12158,0.000713,0.000713,0.000713
67,9179.39,0.79661,0.4264,1.23636,0.91694,0.99286,0.98341,0.69627,0.93747,0.48557,1.11773,0.0006932,0.0006932,0.0006932
68,9336.51,0.79742,0.41406,1.23825,0.95551,0.96583,0.98915,0.71557,0.94381,0.44745,1.1274,0.0006734,0.0006734,0.0006734
69,9493.46,0.79536,0.42142,1.23392,0.96138,0.98073,0.99294,0.72851,0.94111,0.3805,1.13183,0.0006536,0.0006536,0.0006536
70,9652.84,0.76833,0.40261,1.22186,0.92994,0.99572,0.96235,0.66565,0.93941,0.51381,1.11922,0.0006338,0.0006338,0.0006338
71,9808.97,0.7862,0.40526,1.23503,0.95956,0.9654,0.98982,0.69434,0.93427,0.44807,1.11898,0.000614,0.000614,0.000614
72,9966.36,0.79672,0.40264,1.24426,0.93711,0.98914,0.95795,0.66692,0.93864,0.51496,1.11841,0.0005942,0.0005942,0.0005942
73,10122.9,0.78298,0.40402,1.23633,0.93524,0.98964,0.9808,0.68487,0.93694,0.45523,1.11949,0.0005744,0.0005744,0.0005744
74,10277.7,0.77623,0.40286,1.2409,0.92726,0.9743,0.98332,0.69141,0.93383,0.49653,1.11091,0.0005546,0.0005546,0.0005546
75,10434.2,0.78679,0.40224,1.22646,0.92248,0.98929,0.95934,0.67191,0.93523,0.5321,1.11553,0.0005348,0.0005348,0.0005348
76,10591.2,0.78392,0.39414,1.22376,0.9447,0.9743,0.98393,0.70398,0.92975,0.4364,1.1128,0.000515,0.000515,0.000515
77,10745.5,0.78243,0.40333,1.22706,0.92748,0.98715,0.98721,0.71677,0.92771,0.43471,1.11539,0.0004952,0.0004952,0.0004952
78,10900,0.78387,0.41316,1.22837,0.95384,0.97348,0.99021,0.72103,0.92479,0.39627,1.11408,0.0004754,0.0004754,0.0004754
79,11055.9,0.77776,0.40955,1.21653,0.93673,0.98287,0.9829,0.70704,0.93091,0.40373,1.11674,0.0004556,0.0004556,0.0004556
80,11221,0.74872,0.38439,1.20381,0.95612,0.97987,0.99188,0.72406,0.92794,0.38682,1.11679,0.0004358,0.0004358,0.0004358
81,11374.7,0.79291,0.40325,1.21263,0.92936,0.99358,0.95995,0.67657,0.92748,0.44916,1.11695,0.000416,0.000416,0.000416
82,11529.3,0.75607,0.37868,1.19728,0.93338,0.99,0.98617,0.70216,0.9282,0.40904,1.11777,0.0003962,0.0003962,0.0003962
83,11685.3,0.76639,0.39256,1.22206,0.95064,0.9743,0.98114,0.699,0.921,0.41886,1.1122,0.0003764,0.0003764,0.0003764
84,11843,0.7643,0.38737,1.20081,0.93431,0.98715,0.95949,0.67124,0.92099,0.456,1.10758,0.0003566,0.0003566,0.0003566
85,11997.5,0.76188,0.38749,1.21572,0.9314,0.98501,0.96005,0.67133,0.92308,0.47543,1.10873,0.0003368,0.0003368,0.0003368
86,12152.3,0.7647,0.38923,1.19948,0.93193,0.98501,0.95529,0.66723,0.92748,0.48049,1.11736,0.000317,0.000317,0.000317
87,12308.8,0.74941,0.37808,1.2064,0.94056,0.98264,0.97279,0.68573,0.92906,0.43792,1.11808,0.0002972,0.0002972,0.0002972
